시군명,아황산가스농도값,일산화탄소농도값,오존농도값,이산화질소농도값,미세먼지PM10농도값,미세먼지PM2.5농도값,전체온실가스배출량
고양시,0.0036168911539861664,0.4794402351872655,0.02851124710157053,0.022422289974513496,46.249277734976886,25.890894544727235,247921
과천시,0.0034580170919739435,0.604482289633966,0.024120778375820665,0.027412933547504313,44.496611867303045,21.773890211882517,698331
광명시,0.003335402985074627,0.5393609425205284,0.0271070897077207,0.03218362726406101,48.1948495190816,25.2285958381644,155757
광주시,0.0037156569434056348,0.5500414348289333,0.023010157080429906,0.02719014999409472,47.48121011581186,26.089899713467048,365878
구리시,0.0032374712349782665,0.40045918675608727,0.02609708095094794,0.02364887150165513,45.11366546740655,25.718411779511705,81544
군포시,0.0037933496034167177,0.4659926918392205,0.02854932055326377,0.026253880669415475,50.49036181210094,25.043333538802933,131412
김포시,0.00346761870474819,0.38992550549840366,0.03170887620547136,0.01617595722934193,46.79810118976084,26.200934772717872,79074
남양주시,0.0030187971090914734,0.48657287497056745,0.026644552969903798,0.0219396293027361,43.08416340566821,24.879298718813217,348648
동두천시,0.0039292547537498525,0.4011536631779258,0.030808024618298027,0.015464070796460175,43.247049004411586,25.369354635803244,2107264
부천시,0.004964733710845101,0.5293459634424981,0.024799952346914463,0.029254065861012847,54.75293772750592,32.670581327069875,337034
성남시,0.003341929699253833,0.6181138063931081,0.023654042494481237,0.03278358062815395,43.39516190072511,23.683874834783143,8294836
수원시,0.0032735470635066447,0.6168232867293147,0.025056997742663657,0.029663297353335772,43.78823995007382,24.656668733012253,12085212
시흥시,0.0042463352453792225,0.5393299516338328,0.02758057916273214,0.02832080388518182,53.13085210577865,30.27545724172022,1423864
안산시,0.004588855559976738,0.5072423886561618,0.027641460824760215,0.0270468512839575,43.85413896911628,23.526296676403252,6350842
안성시,0.0026507147296457425,0.5181175639062316,0.03248106375400689,0.01792967369537048,46.96325521140031,28.056392336426075,116403
안양시,0.003426224978509149,0.5270126636095842,0.024025782744693126,0.029288068716423345,48.17448496871662,24.96185908783675,2394670
양주시,0.00309622573254552,0.42196775920528223,0.03134668394392743,0.016711273412651665,44.5728305477904,26.410584853786553,534041
여주시,0.0038705896715907706,0.513798025454978,0.02658327393680209,0.01831616939364774,46.51978794230058,33.0872908186341,50581
오산시,0.0031415397631133673,0.4313345737483086,0.028065815074866763,0.02533011844331641,40.78405710886377,25.01790258087968,1351391
용인시,0.002707352793660347,0.5198150830340668,0.025712117253010904,0.025514280055456525,42.045499960035166,23.64484435208909,6473669
의정부시,0.003710981617205335,0.5705705705705706,0.02836778491834208,0.02471854031783402,42.84899228515041,23.217914521431673,88388
이천시,0.0028588714707472244,0.43502517293602394,0.03026064673581452,0.01530390920554855,47.10468127080679,28.807166940433994,4488020
파주시,0.002632855479259527,0.4748854660347551,0.030947536838778492,0.015759326588681632,47.48376675175495,26.749330954504906,4823291
평택시,0.004516453875202301,0.400620559402824,0.029756469569889265,0.020592009540846747,53.31803996879314,29.117001273730818,2917486
포천시,0.003238332937168212,0.4400167017934545,0.032702827946768064,0.0117744888254874,44.35820954801811,23.109187585012982,2550629
하남시,0.003461565752128666,0.4826534231997162,0.024042253521126763,0.030480528760271526,44.82659587305418,20.58047589993899,1825488
화성시,0.004714674172311802,0.4622012965504188,0.030733079686170714,0.01799969212551806,47.63252283240422,28.63796487218344,891719
